ukprn,provider_name,provider_type,provider_group,inspection_number,inspection_type,inspection_date,inspection_length_in_days
10002424,FNTC Training and Consultancy Limited,Independent learning provider,Independent learning providers (including employer providers),ITS376245,Full Inspection,2011.10.17,4
10010401,Focus Training Limited,Independent learning provider,Independent learning providers (including employer providers),10054543,Full Inspection,2018.10.09,3
10002565,Francesco Group (Holdings) Limited,Independent learning provider,Independent learning providers (including employer providers),10054717,Full Inspection,2018.10.02,3
10002639,Gateshead Council,Local authority provider,Adult community education providers,ITS354461,Full Inspection,2010.10.18,4
10002618,GB Training (UK) Ltd,Independent learning provider,Independent learning providers (including employer providers),ITS452603,Full Inspection,2015.01.19,4
10002655,Genii Engineering & Technology Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS363205,Full Inspection,2011.02.21,4
10036952,GP Strategies Training Ltd,Independent learning provider,Independent learning providers (including employer providers),ITS388118,Full Inspection,2012.07.23,4
10012171,GHQ Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS445774,Full Inspection,2014.11.17,3
10002767,Greenbank Project (The),Independent learning provider,Independent learning providers (including employer providers),10041163,Full Inspection,2018.01.16,3
10002841,Haddon Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS363232,Full Inspection,2011.06.07,3
10002834,Hair and Beauty Industry Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS424454,Full Inspection,2013.11.11,3
10002850,Hair Academy South West Limited,Independent learning provider,Independent learning providers (including employer providers),ITS354322,Full Inspection,2010.11.22,3
10002861,Halton Borough Council,Local authority provider,Adult community education providers,ITS410632,Full Inspection,2013.04.23,3
10002872,Hampshire County Council,Local authority provider,Adult community education providers,10041164,Full Inspection,2018.02.06,3
10002916,Hartlepool Borough Council,Local authority provider,Adult community education providers,ITS423416,Full Inspection,2013.12.03,3
10009600,Hawk Management (UK) Limited,Independent learning provider,Independent learning providers (including employer providers),ITS424455,Full Inspection,2013.09.23,4
10002976,Heart of England Training Limited,Independent learning provider,Independent learning providers (including employer providers),10030779,Full Inspection,2017.06.27,3
10002979,Heathercroft Training Services Limited,Independent learning provider,Independent learning providers (including employer providers),ITS385483,Full Inspection,2012.09.24,4
10003026,Herefordshire and Worcestershire Group Training Association Limited,Independent learning provider,Independent learning providers (including employer providers),10005137,Short inspection Conversion,2016.02.24,7
10003085,Hill Holt Wood,Independent learning provider,Independent learning providers (including employer providers),10046752,Full Inspection,2018.05.15,2
10003093,Hillingdon Training Limited,Independent learning provider,Independent learning providers (including employer providers),10011566,Full Inspection,2016.10.11,3
10003162,HTP Apprenticeship College LTD,Independent learning provider,Independent learning providers (including employer providers),10109421,Full Inspection,2019.11.12,3
10003190,Huddersfield Textile Training Limited,Independent learning provider,Independent learning providers (including employer providers),10011484,Full Inspection,2016.07.04,3
10003197,Hull Business Training Centre Limited,Independent learning provider,Independent learning providers (including employer providers),ITS343956,Full Inspection,2010.01.12,3
10003198,Kingston Upon Hull City Council,Local authority provider,Adult community education providers,10054598,Full Inspection,2018.10.09,3
10003206,Humberside Engineering Training Association Limited,Independent learning provider,Independent learning providers (including employer providers),ITS423753,Full Inspection,2013.11.04,4
10003219,HYA Training Limited,Independent learning provider,Independent learning providers (including employer providers),10030659,Full Inspection,2017.07.18,2
